app,Sexo,n,promedio,promedio_suavizado,desviacion,min,max
Facebook,Hombre,113,3.185103244837758,2.4623456790123455,4.301449992485841,0,23.833333333333332
Facebook,Mujer,149,3.017337807606264,2.2969267139479905,4.110035819968153,0,23
Instagram,Hombre,113,3.8952802359882006,2.9446540880503145,4.623379954911013,0,21.616666666666667
Instagram,Mujer,149,4.595413870246085,3.581021897810219,4.551189025191057,0,23
TikTok,Hombre,113,5.3656342182890855,4.619753086419753,5.69906628873729,0,23.216666666666665
TikTok,Mujer,149,5.943064876957495,5.484252873563219,5.883815697715341,0,23
YouTube,Hombre,113,4.526106194690265,3.0758899676375404,5.624323096884265,0,23.4
YouTube,Mujer,149,2.203691275167785,1.0096813725490197,4.453299484364192,0,23.983333333333334
