app,time,outlier,time2
Instagram,2.75,0,2.75
Facebook,0.95,0,0.95
YouTube,0.18333333333333332,0,0.18333333333333332
TikTok,3,0,3
Instagram,6,0,6
Facebook,0,0,0
YouTube,1,0,1
TikTok,3,0,3
Instagram,0,0,0
Facebook,2,0,2
YouTube,3,0,3
TikTok,0.5833333333333334,0,0.5833333333333334
Instagram,4.066666666666666,0,4.066666666666666
Facebook,0.6833333333333333,0,0.6833333333333333
YouTube,0.5166666666666667,0,0.5166666666666667
TikTok,2.8333333333333335,0,2.8333333333333335
Instagram,4.216666666666667,0,4.216666666666667
Facebook,1.5666666666666667,0,1.5666666666666667
YouTube,0,0,0
TikTok,3.25,0,3.25
Instagram,7.5,0,7.5
Facebook,4.133333333333334,0,4.133333333333334
YouTube,1.1333333333333333,0,1.1333333333333333
TikTok,0,0,0
Instagram,5,0,5
Facebook,10,0,10
YouTube,3,0,3
TikTok,7,0,7
Instagram,10,0,10
Facebook,7,0,7
YouTube,0,0,0
TikTok,5,0,5
Instagram,4,0,4
Facebook,6,0,6
YouTube,1,0,1
TikTok,1.3333333333333333,0,1.3333333333333333
Instagram,4.75,0,4.75
Facebook,2.2666666666666666,0,2.2666666666666666
YouTube,0.11666666666666667,0,0.11666666666666667
TikTok,14,0,14
Instagram,0.5,0,0.5
Facebook,10,0,10
YouTube,2,0,2
TikTok,6,0,6
Instagram,5,0,5
Facebook,4,0,4
YouTube,1,0,1
TikTok,5.083333333333333,0,5.083333333333333
Instagram,3.5666666666666664,0,3.5666666666666664
Facebook,2.6833333333333336,0,2.6833333333333336
YouTube,0,0,0
TikTok,2.5,0,2.5
Instagram,1,0,1
Facebook,0.8333333333333334,0,0.8333333333333334
YouTube,0.5,0,0.5
TikTok,0,0,0
Instagram,4.85,0,4.85
Facebook,0.21666666666666667,0,0.21666666666666667
YouTube,3.5,0,3.5
TikTok,0,0,0
Instagram,0,0,0
Facebook,0,0,0
YouTube,10,0,10
TikTok,6,0,6
Instagram,8,0,8
Facebook,4,0,4
YouTube,2,0,2
TikTok,11.15,0,11.15
Instagram,4.833333333333333,0,4.833333333333333
Facebook,6.25,0,6.25
YouTube,2.3,0,2.3
TikTok,0,0,0
Instagram,0,0,0
Facebook,0,0,0
YouTube,23,1,NA
TikTok,0,0,0
Instagram,2.45,0,2.45
Facebook,2.85,0,2.85
YouTube,0.23333333333333334,0,0.23333333333333334
TikTok,6.5,0,6.5
Instagram,13.283333333333333,1,NA
Facebook,1.9,0,1.9
YouTube,0,0,0
TikTok,0.26666666666666666,0,0.26666666666666666
Instagram,2.0833333333333335,0,2.0833333333333335
Facebook,2,0,2
YouTube,0,0,0
TikTok,10,0,10
Instagram,5,0,5
Facebook,2,0,2
YouTube,1,0,1
TikTok,0,0,0
Instagram,3.2,0,3.2
Facebook,2.9,0,2.9
YouTube,2.6666666666666665,0,2.6666666666666665
TikTok,0,0,0
Instagram,3,0,3
Facebook,1,0,1
YouTube,10,1,NA
TikTok,0.9166666666666666,0,0.9166666666666666
Instagram,0.6,0,0.6
Facebook,0.25,0,0.25
YouTube,2,0,2
TikTok,12.533333333333333,0,12.533333333333333
Instagram,4.016666666666667,0,4.016666666666667
Facebook,2.8666666666666667,0,2.8666666666666667
YouTube,1.5166666666666666,0,1.5166666666666666
TikTok,2,0,2
Instagram,2.9166666666666665,0,2.9166666666666665
Facebook,1.3333333333333333,0,1.3333333333333333
YouTube,1,0,1
TikTok,2,0,2
Instagram,8,0,8
Facebook,8,0,8
YouTube,10,0,10
TikTok,0,0,0
Instagram,0,0,0
Facebook,0.08333333333333333,0,0.08333333333333333
YouTube,7.833333333333333,0,7.833333333333333
TikTok,1,0,1
Instagram,0,0,0
Facebook,0,0,0
YouTube,0,0,0
TikTok,4,0,4
Instagram,0,0,0
Facebook,0,0,0
YouTube,1,0,1
TikTok,1,0,1
Instagram,3,0,3
Facebook,1,0,1
YouTube,0,0,0
TikTok,0.3,0,0.3
Instagram,0.48333333333333334,0,0.48333333333333334
Facebook,0.6166666666666667,0,0.6166666666666667
YouTube,2.3166666666666664,0,2.3166666666666664
TikTok,5.6,0,5.6
Instagram,2.183333333333333,0,2.183333333333333
Facebook,1.2666666666666666,0,1.2666666666666666
YouTube,0,0,0
TikTok,2.1333333333333333,0,2.1333333333333333
Instagram,2.6166666666666667,0,2.6166666666666667
Facebook,0.55,0,0.55
YouTube,0.08333333333333333,0,0.08333333333333333
TikTok,0.3,0,0.3
