app,time,outlier,time2
Instagram,2.4166666666666665,0,2.4166666666666665
Facebook,0.1,0,0.1
YouTube,0,0,0
TikTok,9.516666666666667,0,9.516666666666667
Instagram,1.8,0,1.8
Facebook,10,0,10
YouTube,1.75,0,1.75
TikTok,2.8,0,2.8
Instagram,4.583333333333333,0,4.583333333333333
Facebook,0.5666666666666667,0,0.5666666666666667
YouTube,1.4333333333333333,0,1.4333333333333333
TikTok,7.366666666666666,0,7.366666666666666
Instagram,1.2,0,1.2
Facebook,0.25,0,0.25
YouTube,0,0,0
TikTok,5.716666666666667,0,5.716666666666667
Instagram,1.1166666666666667,0,1.1166666666666667
Facebook,0,0,0
YouTube,0,0,0
TikTok,5.666666666666667,0,5.666666666666667
Instagram,1.9,0,1.9
Facebook,2.0833333333333335,0,2.0833333333333335
YouTube,1.5,0,1.5
TikTok,19.366666666666667,0,19.366666666666667
Instagram,2.466666666666667,0,2.466666666666667
Facebook,0.016666666666666666,0,0.016666666666666666
YouTube,0.05,0,0.05
TikTok,23,1,NA
Instagram,0.25,0,0.25
Facebook,8.366666666666667,0,8.366666666666667
YouTube,3.8333333333333335,0,3.8333333333333335
TikTok,2,0,2
Instagram,3,0,3
Facebook,0,0,0
YouTube,0,0,0
TikTok,16.416666666666668,0,16.416666666666668
Instagram,7.3,0,7.3
Facebook,3.0166666666666666,0,3.0166666666666666
YouTube,0,0,0
TikTok,9,0,9
Instagram,0.23333333333333334,0,0.23333333333333334
Facebook,1.2833333333333332,0,1.2833333333333332
YouTube,0.25,0,0.25
TikTok,9.866666666666667,0,9.866666666666667
Instagram,13.716666666666667,1,NA
Facebook,2.75,0,2.75
YouTube,1.7833333333333332,0,1.7833333333333332
TikTok,12.083333333333334,0,12.083333333333334
Instagram,1.1,0,1.1
Facebook,5.083333333333333,0,5.083333333333333
YouTube,4.033333333333333,0,4.033333333333333
TikTok,2,0,2
Instagram,2.6166666666666667,0,2.6166666666666667
Facebook,0.5666666666666667,0,0.5666666666666667
YouTube,2.066666666666667,0,2.066666666666667
TikTok,7.783333333333333,0,7.783333333333333
Instagram,2.65,0,2.65
Facebook,2.4166666666666665,0,2.4166666666666665
YouTube,0.9166666666666666,0,0.9166666666666666
TikTok,0,0,0
Instagram,2.9,0,2.9
Facebook,0,0,0
YouTube,5.216666666666667,0,5.216666666666667
TikTok,13,0,13
Instagram,3.4166666666666665,0,3.4166666666666665
Facebook,0.65,0,0.65
YouTube,0,0,0
TikTok,13.333333333333334,0,13.333333333333334
Instagram,4.983333333333333,0,4.983333333333333
Facebook,3,0,3
YouTube,1,0,1
TikTok,18.266666666666666,0,18.266666666666666
Instagram,14.7,1,NA
Facebook,1.1333333333333333,0,1.1333333333333333
YouTube,1,0,1
TikTok,0.16666666666666666,0,0.16666666666666666
Instagram,3.5,0,3.5
Facebook,0,0,0
YouTube,4.5,0,4.5
TikTok,10,0,10
Instagram,13,1,NA
Facebook,22,1,NA
YouTube,2,0,2
TikTok,6.9,0,6.9
Instagram,5.416666666666667,0,5.416666666666667
Facebook,0.2833333333333333,0,0.2833333333333333
YouTube,0,0,0
TikTok,20,0,20
Instagram,4,0,4
Facebook,1,0,1
YouTube,0,0,0
TikTok,16.333333333333332,0,16.333333333333332
Instagram,14.5,1,NA
Facebook,5.083333333333333,0,5.083333333333333
YouTube,3.033333333333333,0,3.033333333333333
TikTok,16.35,0,16.35
Instagram,1.3166666666666667,0,1.3166666666666667
Facebook,0.4166666666666667,0,0.4166666666666667
YouTube,0,0,0
TikTok,4,0,4
Instagram,1.5,0,1.5
Facebook,0.5,0,0.5
YouTube,0,0,0
TikTok,17,0,17
Instagram,15,1,NA
Facebook,12,1,NA
YouTube,12,1,NA
TikTok,15,0,15
Instagram,7.95,0,7.95
Facebook,9.483333333333333,0,9.483333333333333
YouTube,0.2833333333333333,0,0.2833333333333333
TikTok,4,0,4
Instagram,4.4,0,4.4
Facebook,0,0,0
YouTube,0.3333333333333333,0,0.3333333333333333
TikTok,1.25,0,1.25
Instagram,0.3333333333333333,0,0.3333333333333333
Facebook,0,0,0
YouTube,0,0,0
TikTok,7.383333333333334,0,7.383333333333334
Instagram,2,0,2
Facebook,0.5833333333333334,0,0.5833333333333334
YouTube,1.1666666666666667,0,1.1666666666666667
TikTok,14.8,0,14.8
Instagram,1.1666666666666667,0,1.1666666666666667
Facebook,0.5,0,0.5
YouTube,0.25,0,0.25
TikTok,10.533333333333333,0,10.533333333333333
Instagram,5.733333333333333,0,5.733333333333333
Facebook,0.38333333333333336,0,0.38333333333333336
YouTube,0,0,0
TikTok,8.25,0,8.25
Instagram,4.1,0,4.1
Facebook,0,0,0
YouTube,2.45,0,2.45
TikTok,21,1,NA
Instagram,20,1,NA
Facebook,19,1,NA
YouTube,23,1,NA
TikTok,9.816666666666666,0,9.816666666666666
Instagram,9.883333333333333,0,9.883333333333333
Facebook,0.18333333333333332,0,0.18333333333333332
YouTube,0,0,0
TikTok,10.1,0,10.1
Instagram,3.25,0,3.25
Facebook,4.183333333333334,0,4.183333333333334
YouTube,0.3333333333333333,0,0.3333333333333333
TikTok,9.85,0,9.85
Instagram,3.6,0,3.6
Facebook,0.15,0,0.15
YouTube,0,0,0
TikTok,7.333333333333333,0,7.333333333333333
Instagram,10.383333333333333,0,10.383333333333333
Facebook,0.6666666666666666,0,0.6666666666666666
YouTube,3.8833333333333333,0,3.8833333333333333
TikTok,3.5666666666666664,0,3.5666666666666664
Instagram,0.8166666666666667,0,0.8166666666666667
Facebook,0,0,0
YouTube,0,0,0
TikTok,6.766666666666667,0,6.766666666666667
Instagram,5.083333333333333,0,5.083333333333333
Facebook,1.6333333333333333,0,1.6333333333333333
YouTube,0.5666666666666667,0,0.5666666666666667
TikTok,6,0,6
Instagram,8,0,8
Facebook,5,0,5
YouTube,10,0,10
